idArbre;X;Y;PointWeight;PointType
145312;3,5;131;0,311724531;Myristicaceae_Iryanthera_hostmannii
145316;4,5;132;0,250718729;Lecythidaceae_Lecythis_persistens
145323;10,5;144,5;0,155528471;Euphorbiaceae_Conceveiba_guianensis
145327;4;158,5;0,311724531;Lecythidaceae_Lecythis_persistens
145330;1;160;0,159043128;Fabaceae_Recordoxylon_speciosum
145338;10;173;3,316756079;Fabaceae_Eperua_falcata
145341;7,5;180;0,128824934;Chrysobalanaceae_Licania_alba
145350;6,5;194,5;0,490166994;Clusiaceae_Moronobea_coccinea
145352;3,5;198;0,119459061;Chrysobalanaceae_Licania_sprucei
145356;2,5;204;0,173494454;Icacinaceae_Poraqueiba_guianensis
145358;5;199,5;0,122541748;Clusiaceae_Garcinia_madruno
145359;11;195;0,321699088;Apocynaceae_Lacmellea_aculeata
145362;9,5;201;0,125663706;Annonaceae_Oxandra_asbeckii
145368;5,5;212,5;0,080424772;Lecythidaceae_Lecythis_persistens
145369;0,5;215;0,125663706;Sapotaceae_Pouteria_singularis
145376;7,5;220,5;0,287475363;Lecythidaceae_Eschweilera_coriacea
145377;7;222,5;0,180955737;Fabaceae_Bocoa_prouacensis
145378;8;223;0,204282062;Arecaceae_Oenocarpus_bacaba
145380;0;222,5;1,378864651;Sapotaceae_Chrysophyllum_prieurii
145391;5,5;232;0,098979804;Fabaceae_Andira_coriacea
145410;1;244;0,754296396;Dichapetalaceae_Tapura_capitulifera
145411;3;243,5;0,567450173;Lecythidaceae_Eschweilera_sagotiana
145412;5,5;244;0,273397101;Annonaceae_Unonopsis_rufescens
145413;14,5;249;0,615143477;Lauraceae_Licaria_martiniana
145416;23;242,5;0,373928066;Melastomataceae_Mouriri_crassifolia
145421;17,5;240;0,101787602;Fabaceae_Eperua_grandiflora
145430;16,5;224,5;0,241922269;Euphorbiaceae_Pogonophora_schomburgkiana
145435;16,5;219,5;0,135265199;Euphorbiaceae_Pogonophora_schomburgkiana
145438;24;224;0,184745283;Lecythidaceae_Gustavia_hexapetala
145445;19;207;0,679290872;Euphorbiaceae_Chaetocarpus_schomburgkianus
145463;14;182;0,306796158;Lecythidaceae_Gustavia_hexapetala
145464;20;185;0,664761005;Dichapetalaceae_Tapura_capitulifera
145472;18;176;1,188228881;Fabaceae_Eperua_falcata
145473;15;175,5;0,933131558;Apocynaceae_Couma_guianensis
145476;14,5;170;0,801184666;Nyctaginaceae_Nyctaginaceaeindet_spP9
145477;15;169,5;1,121568212;Clusiaceae_Tovomita_spB5
145479;18;166;0,574145692;Fabaceae_Eperua_falcata
145481;14;161,5;0,950331778;Fabaceae_Eperua_falcata
145487;13,5;149;0,204282062;Myristicaceae_Iryanthera_hostmannii
145494;17;132,5;3,698361412;Fabaceae_Recordoxylon_speciosum
145496;11,5;138;0,321699088;Arecaceae_Oenocarpus_bataua
145497;13,5;132,5;0,196349541;Lauraceae_Aniba_taubertiana
145500;16;129;0,502654825;Sapotaceae_Micropholis_guyanensis
145504;29;132;0,71630276;Fabaceae_Eperua_falcata
145510;23;134,5;0,41282491;Polygonaceae_Coccoloba_mollis
145518;33,5;147;0,192442185;Lecythidaceae_Lecythis_persistens
145530;31;171;0,785398163;Apocynaceae_Couma_guianensis
145537;27,5;177;0,865901475;Lauraceae_Sextonia_rubra
145538;33,5;175;0,629123564;Malvaceae_Sterculia_speciosa
145314;6;130;2,256468558;Malvaceae_Sterculia_pruriens
145315;9;126,5;0,169822718;Fabaceae_Eperua_falcata
145317;9;126;0,224800589;Fabaceae_Inga_jenmanii
145321;7,5;143,5;0,159043128;Lecythidaceae_Lecythis_persistens
145332;8,5;162;0,363168111;Apocynaceae_Aspidosperma_desmanthum
145335;2,5;165;1,463373493;Fabaceae_Eperua_falcata
145345;9;185,5;0,255175863;Clusiaceae_Tovomita_sp2
145348;4;193;0,204282062;Euphorbiaceae_Pogonophora_schomburgkiana
145357;3,5;203;0,116415643;Myrtaceae_Eugenia_patrisii
145365;4;205,5;0,849486654;Fabaceae_Eperua_falcata
145367;6;208;0,082957681;Euphorbiaceae_Mabea_piriri
145370;0,5;216,5;0,643260731;Chrysobalanaceae_Licania_heteromorpha
145375;8;219,5;0,76976874;Malvaceae_Catostemma_fragrans
145379;1,5;223,5;0,316692174;Lecythidaceae_Couratari_multiflora
145381;1,5;225;0,14522012;Euphorbiaceae_Pogonophora_schomburgkiana
145384;10;223,5;0,441786467;Sapotaceae_Pradosia_cochlearia
145398;6;237,5;0,250718729;Annonaceae_Unonopsis_rufescens
145400;8;238;0,534561625;Lauraceae_Lauraceaeindet_spP13
145401;12;238;0,264207942;Simaroubaceae_Simaba_polyphylla
145404;9,5;246,5;0,132025431;Chrysobalanaceae_Licania_sprucei
145406;3,5;249;0,096211275;Lecythidaceae_Lecythis_persistens
145407;0;240,5;0,264207942;Lecythidaceae_Lecythis_persistens
145408;2;248,5;0,574145692;Fabaceae_Vouacapoua_americana
145415;24;242;0,899202357;Sapotaceae_Chrysophyllum_sanguinolentum
145417;18,5;243;0,208307228;Chrysobalanaceae_Licania_micrantha
145419;13;245,5;0,306796158;Fabaceae_Eperua_falcata
145422;20;238,5;0,098979804;Chrysobalanaceae_Couepia_guianensis
145423;13;236;0,59446787;Chrysobalanaceae_Licania_alba
145429;18,5;224;0,738981132;Melastomataceae_Mouriri_crassifolia
145440;24;218;0,79327178;Sapotaceae_Pouteria_torta
145452;20;197;0,363168111;Fabaceae_Eperua_falcata
145453;20;195,5;0,833228912;Putranjivaceae_Drypetes_variabilis
145465;19,5;185;0,125663706;Annonaceae_Oxandra_asbeckii
145466;19,5;183;3,381629967;Fabaceae_Eperua_falcata
145468;21;179;0,76976874;Malvaceae_Sterculia_speciosa
145469;24;178,5;0,122541748;Lecythidaceae_Gustavia_hexapetala
145474;18,5;175,5;0,890818232;Burseraceae_Protium_sagotianum
145480;23,5;164,5;0,082957681;Moraceae_Brosimum_rubescens
145482;20,5;158;2,1382465;Fabaceae_Eperua_falcata
145485;15;153,5;2,035830579;Fabaceae_Eperua_falcata
145488;23;151;0,373928066;Lecythidaceae_Lecythis_persistens
145490;19,5;148;0,088141309;Lecythidaceae_Lecythis_persistens
145498;15,5;131,5;0,541060795;Fabaceae_Ormosia_coutinhoi
145502;31;126;0,326745271;Myristicaceae_Iryanthera_hostmannii
145503;33,5;127;0,135265199;Clusiaceae_Tovomita_spB1
145505;25;131,5;0,216475369;Lecythidaceae_Lecythis_persistens
145506;31,5;132;0,125663706;Lecythidaceae_Lecythis_persistens
145507;32,5;137,5;0,453645979;Bignoniaceae_Jacaranda_copaia
145509;27;136,5;2,364225186;Clusiaceae_Symphonia_globulifera
145514;29,5;140,5;0,10463467;Malvaceae_Theobroma_subincanum
145515;34;142,5;0,113411495;Rhizophoraceae_Cassipourea_guianensis
145517;36,5;145;2,83528737;Fabaceae_Eperua_falcata
145521;26,5;150;3,596809429;Bignoniaceae_Tabebuia_insignis
145532;28;169;0,200296167;Malvaceae_Sterculia_pruriens
