Species;Genus;Family
Anacardiaceae_Anacardium_spruceanum;Anacardium;Anacardiaceae
Anacardiaceae_Tapirira_guianensis;Tapirira;Anacardiaceae
Anacardiaceae_Tapirira_obtusa;Tapirira;Anacardiaceae
Anacardiaceae_Thyrsodium_guianense;Thyrsodium;Anacardiaceae
Anacardiaceae_Thyrsodium_Indet;Thyrsodium;Anacardiaceae
Anacardiaceae_Thyrsodium_puberulum;Thyrsodium;Anacardiaceae
Annonaceae_Anaxagorea_dolichocarpa;Anaxagorea;Annonaceae
Annonaceae_Annona_ambotay;Annona;Annonaceae
Annonaceae_Annona_foetida;Annona;Annonaceae
Annonaceae_Annonaceaeindet_Indet;Annonaceae indet.;Annonaceae
Annonaceae_Duguetia_calycina;Duguetia;Annonaceae
Annonaceae_Fusaea_longifolia;Fusaea;Annonaceae
Annonaceae_Guatteria_schomburgkiana;Guatteria;Annonaceae
Annonaceae_Oxandra_asbeckii;Oxandra;Annonaceae
Annonaceae_Unonopsis_rufescens;Unonopsis;Annonaceae
Annonaceae_Xylopia_frutescens;Xylopia;Annonaceae
Annonaceae_Xylopia_Indet;Xylopia;Annonaceae
Annonaceae_Xylopia_nitida;Xylopia;Annonaceae
Apocynaceae_Ambelania_acida;Ambelania;Apocynaceae
Apocynaceae_Aspidosperma_album;Aspidosperma;Apocynaceae
Apocynaceae_Aspidosperma_desmanthum;Aspidosperma;Apocynaceae
Apocynaceae_Aspidosperma_excelsum;Aspidosperma;Apocynaceae
Apocynaceae_Couma_guianensis;Couma;Apocynaceae
Apocynaceae_Lacmellea_aculeata;Lacmellea;Apocynaceae
Apocynaceae_Macoubea_guianensis;Macoubea;Apocynaceae
Apocynaceae_Parahancornia_fasciculata;Parahancornia;Apocynaceae
Apocynaceae_Rauvolfia_paraensis;Rauvolfia;Apocynaceae
Apocynaceae_Tabernaemontana_attenuata;Tabernaemontana;Apocynaceae
Araliaceae_Schefflera_decaphylla;Schefflera;Araliaceae
Arecaceae_Oenocarpus_bacaba;Oenocarpus;Arecaceae
Arecaceae_Oenocarpus_bataua;Oenocarpus;Arecaceae
Bignoniaceae_Jacaranda_copaia;Jacaranda;Bignoniaceae
Bignoniaceae_Tabebuia_insignis;Tabebuia;Bignoniaceae
Boraginaceae_Cordia_sagotii;Cordia;Boraginaceae
Burseraceae_Burseraceaeindet_spP1;Burseraceae indet.;Burseraceae
Burseraceae_Burseraceaeindet_spP3;Burseraceae indet.;Burseraceae
Burseraceae_Dacryodes_nitens;Dacryodes;Burseraceae
Burseraceae_Protium_decandrum;Protium;Burseraceae
Burseraceae_Protium_giganteum;Protium;Burseraceae
Burseraceae_Protium_opacum;Protium;Burseraceae
Burseraceae_Protium_plagiocarpium;Protium;Burseraceae
Burseraceae_Protium_sagotianum;Protium;Burseraceae
Burseraceae_Protium_subserratum;Protium;Burseraceae
Burseraceae_Protium_tenuifolium;Protium;Burseraceae
Burseraceae_Tetragastris_altissima;Tetragastris;Burseraceae
Burseraceae_Tetragastris_hostmannii;Tetragastris;Burseraceae
Burseraceae_Trattinnickia_rhoifolia;Trattinnickia;Burseraceae
Capparaceae_Capparis_baducca;Capparis;Capparaceae
Cardiopteridaceae_Dendrobangia_boliviana;Dendrobangia;Cardiopteridaceae
Caryocaraceae_Caryocar_glabrum;Caryocar;Caryocaraceae
Celastraceae_Maytenus_oblongata;Maytenus;Celastraceae
Celastraceae_Maytenus_spP1;Maytenus;Celastraceae
Chrysobalanaceae_Chrysobalanaceaeindet_spP5;Chrysobalanaceae indet.;Chrysobalanaceae
Chrysobalanaceae_Chrysobalanaceaeindet_spP7;Chrysobalanaceae indet.;Chrysobalanaceae
Chrysobalanaceae_Couepia_bracteosa;Couepia;Chrysobalanaceae
Chrysobalanaceae_Couepia_guianensis;Couepia;Chrysobalanaceae
Chrysobalanaceae_Couepia_habrantha;Couepia;Chrysobalanaceae
Chrysobalanaceae_Couepia_Indet;Couepia;Chrysobalanaceae
Chrysobalanaceae_Hirtella_bicornis;Hirtella;Chrysobalanaceae
Chrysobalanaceae_Hirtella_glandulosa;Hirtella;Chrysobalanaceae
Chrysobalanaceae_Licania_alba;Licania;Chrysobalanaceae
Chrysobalanaceae_Licania_canescens;Licania;Chrysobalanaceae
Chrysobalanaceae_Licania_densiflora;Licania;Chrysobalanaceae
Chrysobalanaceae_Licania_heteromorpha;Licania;Chrysobalanaceae
Chrysobalanaceae_Licania_Indet;Licania;Chrysobalanaceae
Chrysobalanaceae_Licania_laxiflora;Licania;Chrysobalanaceae
Chrysobalanaceae_Licania_licaniiflora;Licania;Chrysobalanaceae
Chrysobalanaceae_Licania_membranacea;Licania;Chrysobalanaceae
Chrysobalanaceae_Licania_micrantha;Licania;Chrysobalanaceae
Chrysobalanaceae_Licania_ovalifolia;Licania;Chrysobalanaceae
Chrysobalanaceae_Licania_sprucei;Licania;Chrysobalanaceae
Chrysobalanaceae_Parinari_campestris;Parinari;Chrysobalanaceae
Chrysobalanaceae_Parinari_montana;Parinari;Chrysobalanaceae
Chrysobalanaceae_Parinari_rodolphii;Parinari;Chrysobalanaceae
Clusiaceae_Garcinia_benthamiana;Garcinia;Clusiaceae
Clusiaceae_Garcinia_madruno;Garcinia;Clusiaceae
Clusiaceae_Moronobea_coccinea;Moronobea;Clusiaceae
Clusiaceae_Platonia_insignis;Platonia;Clusiaceae
Clusiaceae_Symphonia_globulifera;Symphonia;Clusiaceae
Clusiaceae_Symphonia_sp1;Symphonia;Clusiaceae
Clusiaceae_Tovomita_brasiliensis;Tovomita;Clusiaceae
Clusiaceae_Tovomita_brevistaminea;Tovomita;Clusiaceae
Clusiaceae_Tovomita_Indet;Tovomita;Clusiaceae
Clusiaceae_Tovomita_sp2;Tovomita;Clusiaceae
Clusiaceae_Tovomita_spB1;Tovomita;Clusiaceae
Clusiaceae_Tovomita_spB10;Tovomita;Clusiaceae
Clusiaceae_Tovomita_spB5;Tovomita;Clusiaceae
Clusiaceae_Tovomita_spB8;Tovomita;Clusiaceae
Clusiaceae_Tovomita_spP1;Tovomita;Clusiaceae
Clusiaceae_Tovomita_spP3;Tovomita;Clusiaceae
Clusiaceae_Tovomita_spP4;Tovomita;Clusiaceae
Clusiaceae_Tovomita_spP6;Tovomita;Clusiaceae
Combretaceae_Buchenavia_grandis;Buchenavia;Combretaceae
Combretaceae_Buchenavia_guianensis;Buchenavia;Combretaceae
Dichapetalaceae_Tapura_capitulifera;Tapura;Dichapetalaceae
Ebenaceae_Diospyros_carbonaria;Diospyros;Ebenaceae
Elaeocarpaceae_Sloanea_guianensis;Sloanea;Elaeocarpaceae
Elaeocarpaceae_Sloanea_spP10;Sloanea;Elaeocarpaceae
Elaeocarpaceae_Sloanea_spP16;Sloanea;Elaeocarpaceae
Elaeocarpaceae_Sloanea_spP18;Sloanea;Elaeocarpaceae
Elaeocarpaceae_Sloanea_spP23;Sloanea;Elaeocarpaceae
Elaeocarpaceae_Sloanea_spP24;Sloanea;Elaeocarpaceae
Elaeocarpaceae_Sloanea_spP3;Sloanea;Elaeocarpaceae
Elaeocarpaceae_Sloanea_spP6;Sloanea;Elaeocarpaceae
Elaeocarpaceae_Sloanea_spP7;Sloanea;Elaeocarpaceae
Elaeocarpaceae_Sloanea_spP8;Sloanea;Elaeocarpaceae
Elaeocarpaceae_Sloanea_spP9;Sloanea;Elaeocarpaceae
Erythroxylaceae_Erythroxylum_ligustrinum;Erythroxylum;Erythroxylaceae
Euphorbiaceae_Chaetocarpus_schomburgkianus;Chaetocarpus;Euphorbiaceae
Euphorbiaceae_Chaetocarpus_sp1;Chaetocarpus;Euphorbiaceae
Euphorbiaceae_Conceveiba_guianensis;Conceveiba;Euphorbiaceae
Euphorbiaceae_Glycydendron_amazonicum;Glycydendron;Euphorbiaceae
Euphorbiaceae_Hevea_guianensis;Hevea;Euphorbiaceae
Euphorbiaceae_Mabea_piriri;Mabea;Euphorbiaceae
Euphorbiaceae_Pogonophora_schomburgkiana;Pogonophora;Euphorbiaceae
Euphorbiaceae_Sandwithia_guyanensis;Sandwithia;Euphorbiaceae
Fabaceae_Abarema_jupunba;Abarema;Fabaceae
Fabaceae_Albizia_pedicellaris;Albizia;Fabaceae
Fabaceae_Andira_coriacea;Andira;Fabaceae
Fabaceae_Bocoa_prouacensis;Bocoa;Fabaceae
Fabaceae_Dialium_guianense;Dialium;Fabaceae
Fabaceae_Dicorynia_guianensis;Dicorynia;Fabaceae
Fabaceae_Diplotropis_purpurea;Diplotropis;Fabaceae
Fabaceae_Enterolobium_oldemanii;Enterolobium;Fabaceae
Fabaceae_Enterolobium_schomburgkii;Enterolobium;Fabaceae
Fabaceae_Eperua_falcata;Eperua;Fabaceae
Fabaceae_Eperua_grandiflora;Eperua;Fabaceae
Fabaceae_Inga_capitata;Inga;Fabaceae
Fabaceae_Inga_cayennensis;Inga;Fabaceae
Fabaceae_Inga_graciliflora;Inga;Fabaceae
Fabaceae_Inga_gracilifolia;Inga;Fabaceae
Fabaceae_Inga_Indet;Inga;Fabaceae
Fabaceae_Inga_jenmanii;Inga;Fabaceae
Fabaceae_Inga_lomatophylla;Inga;Fabaceae
Fabaceae_Inga_loubryana;Inga;Fabaceae
Fabaceae_Inga_melinonis;Inga;Fabaceae
Fabaceae_Inga_nouragensis;Inga;Fabaceae
Fabaceae_Inga_rubiginosa;Inga;Fabaceae
Fabaceae_Inga_sarmentosa;Inga;Fabaceae
Fabaceae_Inga_spP11;Inga;Fabaceae
Fabaceae_Ormosia_coutinhoi;Ormosia;Fabaceae
Fabaceae_Ormosia_stipularis;Ormosia;Fabaceae
Fabaceae_Parkia_nitida;Parkia;Fabaceae
Fabaceae_Parkia_ulei;Parkia;Fabaceae
Fabaceae_Parkia_velutina;Parkia;Fabaceae
Fabaceae_Peltogyne_spP1;Peltogyne;Fabaceae
Fabaceae_Platymiscium_pinnatum;Platymiscium;Fabaceae
Fabaceae_Pterocarpus_officinalis;Pterocarpus;Fabaceae
Fabaceae_Recordoxylon_speciosum;Recordoxylon;Fabaceae
Fabaceae_Swartzia_arborescens;Swartzia;Fabaceae
Fabaceae_Swartzia_grandifolia;Swartzia;Fabaceae
Fabaceae_Swartzia_guianensis;Swartzia;Fabaceae
Fabaceae_Swartzia_panacoco;Swartzia;Fabaceae
Fabaceae_Swartzia_polyphylla;Swartzia;Fabaceae
Fabaceae_Tachigali_bracteolata;Tachigali;Fabaceae
Fabaceae_Tachigali_melinonii;Tachigali;Fabaceae
Fabaceae_Vouacapoua_americana;Vouacapoua;Fabaceae
Goupiaceae_Goupia_glabra;Goupia;Goupiaceae
Humiriaceae_Humiriaceaeindet_Indet;Humiriaceae indet.;Humiriaceae
Humiriaceae_Humiriastrum_subcrenatum;Humiriastrum;Humiriaceae
Humiriaceae_Sacoglottis_guianensis;Sacoglottis;Humiriaceae
Humiriaceae_Vantanea_parviflora;Vantanea;Humiriaceae
Hypericaceae_Vismia_sessilifolia;Vismia;Hypericaceae
Icacinaceae_Poraqueiba_guianensis;Poraqueiba;Icacinaceae
Indet_IndetIndet_Indet;Indet. Indet.;Indet.
Lamiaceae_Vitex_triflora;Vitex;Lamiaceae
Lauraceae_Aniba_taubertiana;Aniba;Lauraceae
Lauraceae_Aniba_williamsii;Aniba;Lauraceae
Lauraceae_Endlicheria_melinonii;Endlicheria;Lauraceae
Lauraceae_Lauraceaeindet_spP1;Lauraceae indet.;Lauraceae
Lauraceae_Lauraceaeindet_spP11;Lauraceae indet.;Lauraceae
Lauraceae_Lauraceaeindet_spP13;Lauraceae indet.;Lauraceae
Lauraceae_Lauraceaeindet_spP15;Lauraceae indet.;Lauraceae
Lauraceae_Lauraceaeindet_spP19;Lauraceae indet.;Lauraceae
Lauraceae_Lauraceaeindet_spP8;Lauraceae indet.;Lauraceae
Lauraceae_Licaria_cannella;Licaria;Lauraceae
Lauraceae_Licaria_martiniana;Licaria;Lauraceae
Lauraceae_Ocotea_spP1;Ocotea;Lauraceae
Lauraceae_Ocotea_subterminalis;Ocotea;Lauraceae
Lauraceae_Rhodostemonodaphne_grandis;Rhodostemonodaphne;Lauraceae
Lauraceae_Rhodostemonodaphne_rufovirgata;Rhodostemonodaphne;Lauraceae
Lauraceae_Sextonia_rubra;Sextonia;Lauraceae
Lecythidaceae_Couratari_guianensis;Couratari;Lecythidaceae
Lecythidaceae_Couratari_multiflora;Couratari;Lecythidaceae
Lecythidaceae_Eschweilera_congestiflora;Eschweilera;Lecythidaceae
Lecythidaceae_Eschweilera_coriacea;Eschweilera;Lecythidaceae
Lecythidaceae_Eschweilera_decolorans;Eschweilera;Lecythidaceae
Lecythidaceae_Eschweilera_grandiflora;Eschweilera;Lecythidaceae
Lecythidaceae_Eschweilera_pedicellata;Eschweilera;Lecythidaceae
Lecythidaceae_Eschweilera_praeclara;Eschweilera;Lecythidaceae
Lecythidaceae_Eschweilera_sagotiana;Eschweilera;Lecythidaceae
Lecythidaceae_Eschweilera_wachenheimii;Eschweilera;Lecythidaceae
Lecythidaceae_Gustavia_hexapetala;Gustavia;Lecythidaceae
Lecythidaceae_Lecythidaceaeindet_spP17;Lecythidaceae indet.;Lecythidaceae
Lecythidaceae_Lecythidaceaeindet_spP21;Lecythidaceae indet.;Lecythidaceae
Lecythidaceae_Lecythis_chartacea;Lecythis;Lecythidaceae
Lecythidaceae_Lecythis_corrugata;Lecythis;Lecythidaceae
Lecythidaceae_Lecythis_persistens;Lecythis;Lecythidaceae
Lecythidaceae_Lecythis_poiteaui;Lecythis;Lecythidaceae
Lecythidaceae_Lecythis_zabucajo;Lecythis;Lecythidaceae
Linaceae_Hebepetalum_humiriifolium;Hebepetalum;Linaceae
Loganiaceae_Antonia_ovata;Antonia;Loganiaceae
Malpighiaceae_Byrsonima_laevigata;Byrsonima;Malpighiaceae
Malvaceae_Catostemma_fragrans;Catostemma;Malvaceae
Malvaceae_Eriotheca_globosa;Eriotheca;Malvaceae
Malvaceae_Eriotheca_longitubulosa;Eriotheca;Malvaceae
Malvaceae_Lueheopsis_rugosa;Lueheopsis;Malvaceae
Malvaceae_Sterculia_multiovula;Sterculia;Malvaceae
Malvaceae_Sterculia_pruriens;Sterculia;Malvaceae
Malvaceae_Sterculia_speciosa;Sterculia;Malvaceae
