"Family","Genus","species","bar_code","plot_code","X","Y","Fe","sapwood_dens","bark_thick","twig_dens","twig_bark_thick","N","NH4","C13","P","K","chlor","C_N","Nodulation","log_lf_area","log_tough","log_lflt_area","log_LTD","log_SLA","log_moist","PC1","PC2","PC3"
"Anacardiaceae","Anacardium","spruceanum","A110274","A11",66,80,NA,0.42,5,0.432995438575745,1.61838796,0.02176748,0.300126,-32.92086566,0.0009757,0.00401,22.2220181192391,25.2320090519151,0,3.56199260420808,-0.967584012667664,3.56199260420808,-10.2044247114703,2.91663610592858,-0.63487827243597,-2.19896297185739,-1.38875651132319,-1.84370063346648
"Anacardiaceae","Anacardium","spruceanum","M17116070","M1711",18,52,NA,0.5243,3.5,0.428,1.3595,0.027016209,0.656279,-33.610441091,0.0007531,0.00965,73.4914807327856,16.3159460446730,0,5.30081424674662,0.671242345171895,5.30081424674662,-10.1451323901799,2.73458365912904,-0.314026047791383,-2.26851008562018,1.39403890879039,0.821038869823538
"Anacardiaceae","Anacardium","spruceanum","NH200022","NH20",10,336,3.15063e-05,0.4601,16,0.323,4.4255,0.023681817,0.61274,-32.86131778,0.0008898,0.0105757,43.2240124738181,20.3270409529809,0,4.94497021270198,0.591483526783445,4.94497021270198,-9.92185005783302,2.41233216009279,0.0260575343192896,-2.0056047775347,2.25910668336978,-2.89470826678448
"Anacardiaceae","Anacardium","spruceanum","NH200352","NH20",66,393,NA,0.5122,2,0.615,1.8725,0.024862471,0.797619,-32.984189727,0.0005868,0.00516,63.3698312364523,17.1535855148335,0,3.63230910262554,0.182321556793955,3.63230910262554,-9.75342849061212,2.73622107806891,-0.496265472434661,-1.08478148085113,-1.02407040518116,-0.042323597765953
"Anacardiaceae","Anacardium","spruceanum","P01860002","P018",29,2,NA,0.4611,4,0.543644379,2.93157048,0.028779279,0.843675,-32.78709957,0.0008107,0.0067146,50.2745525506731,16.2869686554691,0,4.88002027962449,0.678033542749897,4.88002027962449,-10.0776941203928,2.70830346183549,-0.562118918153541,-2.07175669092682,0.64549044025044,0.453870669598784
"Anacardiaceae","Anacardium","spruceanum","P01860149","P018",60,14,NA,0.4293,3,0.524,1.61879663,0.025552408,0.722842,-33.26875516,0.0009645,0.00842,44.9885248612092,18.5134810386559,0,4.86084546230479,0.433944579430033,4.86084546230479,-9.88661906864871,2.56763753112334,-0.259548233208010,-2.09246312311692,0.706315293960277,-0.0306894182909331
"Anacardiaceae","Anacardium","spruceanum","P01860201","P018",79,21,NA,0.4527,3,0.5,0.97256986,0.027203901,1,-33.23182602,0.0003734,0.0086142,43.1965034812887,17.2731846436289,0,5.02934800302841,0.597003320007043,5.02934800302841,-10.1283942544687,2.95827471101909,0.194085423714197,-2.67583627753023,0.869054263739751,-0.0769565482909348
"Anacardiaceae","Astronium","lecointei","LV109053","LV1",107.4,32.7,NA,0.64792,12.4,0.696,2.35557475,0.015812857,0.451848,-33.48618877,0.0003368,0.0034183,61.4782860965547,32.2504124312022,0,3.4133455155978,0.719464488877319,3.49144425950993,-10.0748106117483,2.15340332817411,-0.536485370546568,2.13242828231332,-0.786572872304336,-1.63831638648777
"Anacardiaceae","Astronium","lecointei","LV109186","LV1",131.2,93.3,NA,0.77389,4.5,0.440836544,1.87879916,0.016391263,0.173428,-32.11605708,0.0004696,0.0028345,60.9841682117186,27.7127353068763,0,5.94833990598908,0.0424207158839523,3.86889836430924,-9.86131122822608,2.61233310986414,-0.770460283662616,1.08947740130282,-0.466110743112395,-0.189520737241506
"Anacardiaceae","Astronium","lecointei","LV109250","LV1",142.9,1.6,0.00010767408,0.732,2,0.533159948,2.08828929,0.021882344,0.47551,-31.44423792,0.0005713,0.0091722,58.9390624086996,21.8303065704478,0,6.1817752272551,0.25205489480863,4.10233368557526,-9.92927752735792,2.45431629117369,-0.657394010854128,-0.42522176742191,-0.0610148045665653,0.830508510686061
